Artist			Times in the list			
			2			
			2			
Cardi B,			1			
Maluma,			4			
24kGoldn,			1			
BTS,			2			
The Weeknd,			2			
Harry Styles,			3			
Jawsh 685,			1			
Drake,			3			
DaBaby,			1			
BLACKPINK,			2			
Pop Smoke,			6			
SAINt JHN,			1			
Conan Gray,			2			
Pop Smoke,			6			
 DiOs Mío!",			1			
Topic,			1			
Joel Corry,			1			
J Balvin,			3			
Juice WRLD,			9			
Jay Wheeler,			1			
 Don Toliver & NAV)",			1			
Lady Gaga,			2			
Miley Cyrus,			2			
Rauw Alejandro,			2			
Nio Garcia,			1			
Ozuna,			2			
Tones And I,			1			
Lewis Capaldi,			3			
Juice WRLD,			9			
Tate McRae,			1			
Sech,			1			
Juice WRLD,			9			
Powfu,			1			
Lewis Capaldi,			3			
 Tory Lanez & Lil Wayne) - Remix",			1			
Tainy,			1			
Calvin Harris,			1			
Chris Brown,			2			
BLACKPINK,			2			
Pop Smoke,			6			
Dua Lipa,			3			
Dua Lipa,			3			
Lil Mosey,			1			
DJ Khaled,			2			
Aya Nakamura,			1			
Black Eyed Peas,			2			
Ariana Grande,			2			
Surf Mesa,			1			
Ava Max,			1			
Trueno,			1			
Labrinth,			1			
KHEA,			1			
StaySolidRocky,			1			
Jason Derulo,			1			
Post Malone,			3			
Drake,			3			
Harry Styles,			3			
Roddy Ricch,			1			
Jerry Di,			1			
Travis Scott,			4			
Machine Gun Kelly,			1			
Juice WRLD,			9			
BØRNS,			1			
Maroon 5,			2			
Trevor Daniel,			1			
Shawn Mendes,			1			
KAROL G,			1			
Post Malone,			3			
Justin Bieber,			1			
Taylor Swift,			3			
Juice WRLD,			9			
Billie Eilish,			5			
ROSALÍA,			1			
The Weeknd,			2			
Billie Eilish,			5			
Travis Scott,			4			
Marshmello,			2			
DJ Khaled,			2			
Anuel AA,			2			
 Osquel,			1			
Internet Money,			1			
Billie Eilish,			5			
Pop Smoke,			6			
Curtis Waters,			1			
Camilo,			2			
Regard,			2			
Lady Gaga,			2			
Doja Cat,			2			
Future,			1			
Travis Scott,			4			
Regard,			2			
Arizona Zervas,			1			
JP Saxe,			1			
 Nicky Jam,			1			
Kane Brown,			1			
THE SCOTTS,			1			
Billie Eilish,			5			
J Balvin,			3			
Pop Smoke,			6			
Harry Styles,			3			
WhoHeem,			1			
Surfaces,			1			
Jul,			1			
Imagine Dragons,			1			
Taylor Swift,			3			
BENEE,			1			
Rauw Alejandro,			2			
Travis Scott,			4			
J Balvin,			3			
Ozuna,			2			
Maluma,			4			
Harry Nach,			1			
Nea,			1			
Eminem,			1			
Melanie Martinez,			1			
Bad Bunny,			2			
blackbear,			1			
Ed Sheeran,			5			
Don Toliver,			1			
James Arthur,			1			
XXXTENTACION,			3			
ITZY,			1			
Wallows,			1			
Bad Bunny,			2			
Juice WRLD,			9			
Maroon 5,			2			
Ariana Grande,			2			
K/DA,			1			
Juice WRLD,			9			
Ed Sheeran,			5			
Jack Harlow,			1			
Kendrick Lamar,			1			
Miley Cyrus,			2			
Juice WRLD,			9			
Ed Sheeran,			5			
Post Malone,			3			
Juice WRLD,			9			
Jhay Cortez,			1			
Camilo,			2			
Kygo,			2			
Maluma,			4			
XXXTENTACION,			3			
Gunna,			1			
Niack,			1			
Drake,			3			
MEDUZA,			1			
Billie Eilish,			5			
Queen,			1			
Megan Thee Stallion,			1			
Ed Sheeran,			5			
Saweetie,			1			
Maluma,			4			
Justin Quiles,			1			
Dua Lipa,			3			
Taylor Swift,			3			
Chris Brown,			2			
Polo G,			2			
The Kid LAROI,			1			
6ix9ine,			1			
John Legend,			1			
Manuel Turizo,			1			
BTS,			2			
BANNERS,			1			
Doja Cat,			2			
Bring Me The Horizon,			1			
Halsey,			1			
Bea Miller,			1			
Polo G,			2			
Marshmello,			2			
Dean Lewis,			1			
Alex Rose,			1			
The Chainsmokers,			1			
Morgan Wallen,			1			
Lil Peep,			1			
000 Hours (with Justin Bieber)",			1			
Noah Cyrus,			1			
 DaBaby & Jack Harlow)",			1			
Passenger,			1			
Kina,			1			
Lil Baby,			1			
Tame Impala,			1			
Peach Tree Rascals,			1			
Black Eyed Peas,			2			
Lewis Capaldi,			3			
Headie One,			1			
Robin Schulz,			1			
Kygo,			2			
XXXTENTACION,			3			
Dalex,			1			
The Neighbourhood,			1			
JACKBOYS,			1			
Conan Gray,			2			
Anuel AA,			2			
Selena Gomez,			1			
KitschKrieg,			1			
Pop Smoke,			6			
Ali Gatie,			1			
Jowell & Randy,			1			
Ed Sheeran,			5			
