Artist					Times in the list					
					2					
 DaBaby & Jack Harlow)",					1					
 DiOs Mío!",					1					
 Don Toliver & NAV)",					1					
 Nicky Jam,					1					
 Osquel,					1					
 Tory Lanez & Lil Wayne) - Remix",					1					
000 Hours (with Justin Bieber)",					1					
24kGoldn,					1					
6ix9ine,					1					
Alex Rose,					1					
Ali Gatie,					1					
Anuel AA,					2					
Ariana Grande,					2					
Arizona Zervas,					1					
Ava Max,					1					
Aya Nakamura,					1					
BANNERS,					1					
BENEE,					1					
BLACKPINK,					2					
BTS,					2					
Bad Bunny,					2					
Bea Miller,					1					
Billie Eilish,					5					
Black Eyed Peas,					2					
Bring Me The Horizon,					1					
BØRNS,					1					
Calvin Harris,					1					
Camilo,					2					
Cardi B,					1					
Chris Brown,					2					
Conan Gray,					2					
Curtis Waters,					1					
DJ Khaled,					2					
DaBaby,					1					
Dalex,					1					
Dean Lewis,					1					
Doja Cat,					2					
Don Toliver,					1					
Drake,					3					
Dua Lipa,					3					
Ed Sheeran,					5					
Eminem,					1					
Future,					1					
Gunna,					1					
Halsey,					1					
Harry Nach,					1					
Harry Styles,					3					
Headie One,					1					
ITZY,					1					
Imagine Dragons,					1					
Internet Money,					1					
J Balvin,					3					
JACKBOYS,					1					
JP Saxe,					1					
Jack Harlow,					1					
James Arthur,					1					
Jason Derulo,					1					
Jawsh 685,					1					
Jay Wheeler,					1					
Jerry Di,					1					
Jhay Cortez,					1					
Joel Corry,					1					
John Legend,					1					
Jowell & Randy,					1					
Juice WRLD,					9					
Jul,					1					
Justin Bieber,					1					
Justin Quiles,					1					
K/DA,					1					
KAROL G,					1					
KHEA,					1					
Kane Brown,					1					
Kendrick Lamar,					1					
Kina,					1					
KitschKrieg,					1					
Kygo,					2					
Labrinth,					1					
Lady Gaga,					2					
Lewis Capaldi,					3					
Lil Baby,					1					
Lil Mosey,					1					
Lil Peep,					1					
MEDUZA,					1					
Machine Gun Kelly,					1					
Maluma,					4					
Manuel Turizo,					1					
Maroon 5,					2					
Marshmello,					2					
Megan Thee Stallion,					1					
Melanie Martinez,					1					
Miley Cyrus,					2					
Morgan Wallen,					1					
Nea,					1					
Niack,					1					
Nio Garcia,					1					
Noah Cyrus,					1					
Ozuna,					2					
Passenger,					1					
Peach Tree Rascals,					1					
Polo G,					2					
Pop Smoke,					6					
Post Malone,					3					
Powfu,					1					
Queen,					1					
ROSALÍA,					1					
Rauw Alejandro,					2					
Regard,					2					
Robin Schulz,					1					
Roddy Ricch,					1					
SAINt JHN,					1					
Saweetie,					1					
Sech,					1					
Selena Gomez,					1					
Shawn Mendes,					1					
StaySolidRocky,					1					
Surf Mesa,					1					
Surfaces,					1					
THE SCOTTS,					1					
Tainy,					1					
Tame Impala,					1					
Tate McRae,					1					
Taylor Swift,					3					
The Chainsmokers,					1					
The Kid LAROI,					1					
The Neighbourhood,					1					
The Weeknd,					2					
Tones And I,					1					
Topic,					1					
Travis Scott,					4					
Trevor Daniel,					1					
Trueno,					1					
Wallows,					1					
WhoHeem,					1					
XXXTENTACION,					3					
blackbear,					1					
