Songs							Times in the list							
							4							
"10,							3							
"24 (feat. Lil Baby)",							4							
"7 rings",							4							
"Adore You",							4							
"After Party",							4							
"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",							4							
"All Girls Are The Same",							4							
"All of Me",							4							
"Are You Bored Yet? (feat. Clairo)",							4							
"Ay,							4							
"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",							4							
"Baby,							2							
"Bande organisée",							4							
"Be Alright",							4							
"Be Kind (with Halsey)",							4							
"Be Like That - feat. Swae Lee & Khalid",							4							
"Beautiful People (feat. Khalid)",							4							
"Before You Go",							4							
"Bet You Wanna (feat. Cardi B)",							3							
"Blastoff (feat. Juice Wrld & Trippie Redd)",							1							
"Blinding Lights",							4							
"Blueberry Faygo",							4							
"Bohemian Rhapsody - 2011 Mix",							4							
"Boy With Luv (feat. Halsey)",							4							
"Brand New Draco",							1							
"Break My Heart",							4							
"Breaking Me",							4							
"Caramelo - Remix",							4							
"Come & Go (with Marshmello)",							4							
"Crazy Over You",							3							
"CÓMO SE SIENTE - Remix",							3							
"DOLLAZ ON MY HEAD (feat. Young Thug)",							4							
"Daddy Issues",							3							
"Dance Monkey",							4							
"Deep End",							1							
"Djadja (feat. Maluma) - Remix",							4							
"Don Don",							4							
"Don't Start Now",							4							
"Dreams - 2004 Remaster",							4							
"El Mismo Aire - con Pablo Alborán",							4							
"Electric Love",							4							
"Elegí (feat. Dímelo Flow)",							3							
"FRANCHISE (feat. Young Thug & M.I.A.)",							4							
"For The Night (feat. Lil Baby & DaBaby)",							4							
"GREECE (feat. Drake)",							4							
"Get You The Moon (feat. Snøw)",							4							
"Gimme Love",							1							
"Glock In My Lap",							2							
"Go Crazy",							4							
"Godzilla (feat. Juice WRLD)",							4							
"Got It On Me",							4							
"HIGHEST IN THE ROOM",							4							
"Hasta Que Dios Diga",							4							
"Hate The Other Side (with Marshmello & The Kid Laroi)",							1							
"Hate The Way (feat. blackbear)",							1							
"Head & Heart (feat. MNEK)",							4							
"Head Shoulders Knees & Toes (feat. Norma Jean Martine)",							4							
"Heart Of Glass (Live from the iHeart Festival)",							3							
"Hello (feat. A Boogie Wit da Hoodie)",							4							
"Holy (feat. Chance The Rapper)",							4							
"How You Like That",							4							
